"data";"uso";"ano";"mes"
"2013-10-16";4722;2013;10
"2013-10-17";4801;2013;10
"2013-10-18";4439;2013;10
"2013-10-19";2561;2013;10
"2013-10-20";2841;2013;10
"2013-10-21";5979;2013;10
"2013-10-22";5958;2013;10
"2013-10-23";5647;2013;10
"2013-10-24";4659;2013;10
"2013-10-25";4430;2013;10
"2013-10-26";2766;2013;10
"2013-10-27";2907;2013;10
"2013-10-28";5970;2013;10
"2013-10-29";5842;2013;10
"2013-10-30";20168;2013;10
"2013-10-31";3350;2013;10
"2013-11-01";3351;2013;11
"2013-11-02";2170;2013;11
"2013-11-03";2455;2013;11
"2013-11-04";4732;2013;11
"2013-11-05";4827;2013;11
"2013-11-06";3838;2013;11
"2013-11-07";4724;2013;11
"2013-11-08";4321;2013;11
"2013-11-09";2442;2013;11
"2013-11-10";2490;2013;11
"2013-11-11";5088;2013;11
"2013-11-12";4629;2013;11
"2013-11-13";3878;2013;11
"2013-11-14";3612;2013;11
"2013-11-15";1863;2013;11
"2013-11-16";2190;2013;11
"2013-11-17";2461;2013;11
"2013-11-18";5286;2013;11
"2013-11-19";5734;2013;11
"2013-11-20";4947;2013;11
"2013-11-21";6364;2013;11
"2013-11-22";4795;2013;11
"2013-11-23";4391;2013;11
"2013-11-24";4012;2013;11
"2013-11-25";5676;2013;11
"2013-11-26";5635;2013;11
"2013-11-27";4006;2013;11
"2013-11-28";3496;2013;11
"2013-11-29";2821;2013;11
"2013-11-30";2142;2013;11
"2013-12-01";2191;2013;12
"2013-12-02";5299;2013;12
"2013-12-03";4790;2013;12
"2013-12-04";4667;2013;12
"2013-12-05";4208;2013;12
"2013-12-06";4047;2013;12
"2013-12-07";1753;2013;12
"2013-12-08";2086;2013;12
"2013-12-09";6106;2013;12
"2013-12-10";5022;2013;12
"2013-12-11";5264;2013;12
"2013-12-12";4460;2013;12
"2013-12-13";3549;2013;12
"2013-12-14";1843;2013;12
"2013-12-15";2171;2013;12
"2013-12-16";4729;2013;12
"2013-12-17";5350;2013;12
"2013-12-18";4300;2013;12
"2013-12-19";4061;2013;12
"2013-12-20";4017;2013;12
"2013-12-21";2100;2013;12
"2013-12-22";1743;2013;12
"2013-12-23";2884;2013;12
"2013-12-24";1518;2013;12
"2013-12-25";1502;2013;12
"2013-12-26";3721;2013;12
"2013-12-27";3350;2013;12
"2013-12-28";2134;2013;12
"2013-12-29";1958;2013;12
"2013-12-30";2632;2014;12
"2013-12-31";1524;2014;12
"2014-01-01";1614;2014;1
"2014-01-02";4139;2014;1
"2014-01-03";4300;2014;1
"2014-01-04";2594;2014;1
"2014-01-05";3076;2014;1
"2014-01-06";5010;2014;1
"2014-01-07";5356;2014;1
"2014-01-08";5535;2014;1
"2014-01-09";5193;2014;1
"2014-01-10";5516;2014;1
"2014-01-11";3805;2014;1
"2014-01-12";4262;2014;1
"2014-01-13";6635;2014;1
"2014-01-14";6004;2014;1
"2014-01-15";5982;2014;1
"2014-01-16";6428;2014;1
"2014-01-17";5325;2014;1
"2014-01-18";3443;2014;1
"2014-01-19";4288;2014;1
"2014-01-20";6799;2014;1
"2014-01-21";6425;2014;1
"2014-01-22";6298;2014;1
"2014-01-23";6296;2014;1
"2014-01-24";6124;2014;1
"2014-01-25";4593;2014;1
"2014-01-26";4508;2014;1
"2014-01-27";8087;2014;1
"2014-01-28";7188;2014;1
"2014-01-29";7091;2014;1
"2014-01-30";8055;2014;1
"2014-01-31";6878;2014;1
"2014-02-01";5757;2014;2
"2014-02-02";4817;2014;2
"2014-02-03";8789;2014;2
"2014-02-04";9086;2014;2
"2014-02-05";8641;2014;2
"2014-02-06";8085;2014;2
"2014-02-07";7319;2014;2
"2014-02-08";4726;2014;2
"2014-02-09";4995;2014;2
"2014-02-10";8651;2014;2
"2014-02-11";7200;2014;2
"2014-02-12";9596;2014;2
"2014-02-13";10397;2014;2
"2014-02-14";8849;2014;2
"2014-02-15";5819;2014;2
"2014-02-16";6751;2014;2
"2014-02-17";10124;2014;2
"2014-02-18";10457;2014;2
"2014-02-19";10750;2014;2
"2014-02-20";9278;2014;2
"2014-02-21";7612;2014;2
"2014-02-22";5810;2014;2
"2014-02-23";6003;2014;2
"2014-02-24";7666;2014;2
"2014-02-25";10979;2014;2
"2014-02-26";8005;2014;2
"2014-02-27";6936;2014;2
"2014-02-28";8319;2014;2
"2014-03-01";4990;2014;3
"2014-03-02";4595;2014;3
"2014-03-03";6078;2014;3
"2014-03-04";5407;2014;3
"2014-03-05";6232;2014;3
"2014-03-06";8402;2014;3
"2014-03-07";6944;2014;3
"2014-03-08";4119;2014;3
"2014-03-09";6039;2014;3
"2014-03-10";8982;2014;3
"2014-03-11";8833;2014;3
